                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.4405,                 1.0333,                0.92994,                0.47328,                0.33389,                0.34562,                0.20315,                 1.3697,                 1.0129,                0.92048,               0.006964,               0.006964,               0.006964
                     95,                 1.4458,                 1.0404,                0.93425,                0.48925,                0.33329,                0.34639,                0.20059,                 1.3822,                 1.0104,                 0.9214,               0.006931,               0.006931,               0.006931
                     96,                 1.4636,                 1.0623,                0.93251,                0.45353,                0.33234,                0.33528,                0.18993,                 1.4036,                 1.0253,                0.92641,               0.006898,               0.006898,               0.006898
                     97,                 1.4515,                 1.0447,                0.93544,                0.48056,                0.33683,                0.34551,                 0.2002,                   1.37,                 1.0015,                0.92084,               0.006865,               0.006865,               0.006865
                     98,                 1.4777,                 1.0629,                 0.9357,                0.44494,                0.33354,                0.33097,                0.19267,                 1.3955,                 1.0289,                0.92487,               0.006832,               0.006832,               0.006832
                     99,                 1.4806,                 1.0642,                0.93563,                0.44447,                0.34783,                0.34855,                0.20042,                   1.38,                 1.0048,                0.92307,               0.006799,               0.006799,               0.006799
                    100,                 1.4554,                 1.0405,                0.92805,                0.53846,                0.31291,                0.33482,                0.19351,                 1.3798,                 1.0106,                0.92072,               0.006766,               0.006766,               0.006766
                    101,                 1.4369,                 1.0238,                0.92972,                0.44996,                0.34267,                0.34658,                0.20159,                 1.3779,                0.99624,                0.91983,               0.006733,               0.006733,               0.006733
                    102,                 1.4534,                  1.034,                0.92876,                0.44684,                0.32561,                 0.3275,                0.18896,                 1.3956,                 1.0512,                0.92329,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.4403,                  1.036,                 0.9291,                0.48863,                0.34278,                0.36097,                0.21056,                 1.3626,                0.98246,                 0.9161,               0.006667,               0.006667,               0.006667
                    104,                  1.452,                 1.0398,                0.93055,                0.47097,                0.33654,                 0.3502,                  0.205,                 1.3605,                0.99879,                0.91733,               0.006634,               0.006634,               0.006634
                    105,                 1.4247,                 1.0204,                0.92633,                0.46771,                 0.3486,                0.35811,                0.20664,                 1.3613,                 1.0059,                 0.9199,               0.006601,               0.006601,               0.006601
                    106,                 1.4628,                 1.0511,                0.92935,                0.44731,                 0.3333,                0.34186,                0.20059,                 1.3774,                0.98525,                0.92123,               0.006568,               0.006568,               0.006568
                    107,                 1.4461,                 1.0387,                0.93032,                0.46951,                0.35077,                0.35809,                0.20771,                 1.3686,                0.98161,                  0.921,               0.006535,               0.006535,               0.006535
                    108,                 1.4163,                  1.023,                0.92743,                0.47302,                0.32922,                0.34386,                0.20202,                 1.3797,                 1.0037,                0.91826,               0.006502,               0.006502,               0.006502
                    109,                 1.4184,                 1.0218,                0.92977,                0.47407,                0.34854,                0.35845,                0.20954,                 1.3579,                0.98357,                0.91645,               0.006469,               0.006469,               0.006469
                    110,                 1.4564,                 1.0393,                0.92529,                0.47355,                0.32466,                0.33273,                0.18951,                  1.413,                 1.0231,                 0.9248,               0.006436,               0.006436,               0.006436
                    111,                 1.4258,                 1.0267,                0.92702,                0.48533,                0.34329,                0.35752,                0.20841,                 1.3643,                0.98798,                0.91436,               0.006403,               0.006403,               0.006403
                    112,                 1.4202,                 1.0315,                0.93109,                0.49311,                0.32472,                0.34198,                0.19414,                 1.4202,                 1.0215,                0.93114,                0.00637,                0.00637,                0.00637
                    113,                 1.4246,                 1.0123,                0.92369,                0.47834,                0.33712,                0.35099,                0.20254,                 1.3881,                 1.0034,                0.92221,               0.006337,               0.006337,               0.006337
                    114,                 1.4202,                  1.014,                0.92849,                0.48762,                0.34986,                0.36659,                0.21378,                 1.3464,                0.96908,                0.91467,               0.006304,               0.006304,               0.006304
                    115,                 1.4155,                0.99867,                0.92755,                0.53877,                0.35139,                 0.3732,                0.22004,                 1.3438,                0.95127,                0.91139,               0.006271,               0.006271,               0.006271
